timestamp,label_original,label_original_confidence,label_noised,label_noised_confidence,label_denoised,label_denoised_confidence,confidence_difference
1694599904058,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599918620,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599933100,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599947660,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599962138,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599976538,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694599991499,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694600007820,Bad,0.850015,N/A,N/A,N/A,N/A,N/A
1694600024619,Edge,0.856315,N/A,N/A,N/A,N/A,N/A
1694600594621,Bad,0.850021,N/A,N/A,N/A,N/A,N/A
1694600626139,Bad,0.829617,N/A,N/A,N/A,N/A,N/A
1694600650459,Bad,0.857081,N/A,N/A,N/A,N/A,N/A
1694600671740,Bad,0.849781,N/A,N/A,N/A,N/A,N/A
1694600686778,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
1694600701105,Bad,0.849718,N/A,N/A,N/A,N/A,N/A
